Binary,Function,Type,LINK,Attack
Shell32.dll,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Shell32/,ATT&CK Technique: T1218.011: Rundll32
Syssetup.dll,Function: AWL bypass,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Syssetup/,ATT&CK Technique: T1218.011: Rundll32
Syssetup.dll,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Syssetup/,ATT&CK Technique: T1218.011: Rundll32
Url.dll,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Url/,ATT&CK Technique: T1218.011: Rundll32
Zipfldr.dll,Function: Execute,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/Zipfldr/,ATT&CK Technique: T1218.011: Rundll32
Comsvcs.dll,Function: Dump,Type: Libraries,Link:   https://lolbas-project.github.io/lolbas/Libraries/comsvcs/,ATT&CK Technique: T1003.001: LSASS Memory
AccCheckConsole.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/AccCheckC=,ATT&CK Technique: T1218: System Binary Proxy Execution
AccCheckConsole.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/AccCheckC=,ATT&CK Technique: T1218: System Binary Proxy Execution
adplus.exe,Function: Dump,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Adplus/,ATT&CK Technique: T1003.001: LSASS Memory
AgentExecutor.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Agentexec=,ATT&CK Technique: T1218: System Binary Proxy Execution
Appvlp.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Appvlp/,ATT&CK Technique: T1218: System Binary Proxy Execution
Bginfo.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Bginfo/,ATT&CK Technique: T1218: System Binary Proxy Execution
Bginfo.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Bginfo/,ATT&CK Technique: T1218: System Binary Proxy Execution
Cdb.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Cdb/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
coregen.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Coregen/,ATT&CK Technique: T1055: Process Injection
coregen.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Coregen/,ATT&CK Technique: T1218: System Binary Proxy Execution
csi.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Csi/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
DefaultPack.EXE,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/DefaultPa=,ATT&CK Technique: T1218: System Binary Proxy Execution
Devtoolslauncher.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Devtoolsl=,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
dnx.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Dnx/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Dotnet.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Dotnet/,ATT&CK Technique: T1218: System Binary Proxy Execution
Dotnet.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Dotnet/,ATT&CK Technique: T1218: System Binary Proxy Execution
Dump64.exe,Function: Dump,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Dump64/,ATT&CK Technique: T1003.001: LSASS Memory
Dxcap.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Dxcap/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Excel.exe,Function: Download,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Excel/,ATT&CK Technique: T1105: Ingress Tool Transfer
Fsi.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Fsi/,ATT&CK Technique: T1059: Command and Scripting Interpreter
FsiAnyCpu.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/FsiAnyCpu=,ATT&CK Technique: T1059: Command and Scripting Interpreter
Mftrace.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Mftrace/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Msdeploy.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Msdeploy/,ATT&CK Technique: T1218: System Binary Proxy Execution
Msdeploy.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Msdeploy/,ATT&CK Technique: T1218: System Binary Proxy Execution
msxsl.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Msxsl/,ATT&CK Technique: T1218: System Binary Proxy Execution
msxsl.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Msxsl/,ATT&CK Technique: T1218: System Binary Proxy Execution
ntdsutil.exe,Function: Dump,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Ntdsutil/,ATT&CK Technique: T1003.003: NTDS
Powerpnt.exe,Function: Download,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Powerpnt/,ATT&CK Technique: T1105: Ingress Tool Transfer
Procdump.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Procdump/,ATT&CK Technique: T1202: Indirect Command Execution
rcsi.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Rcsi/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
rcsi.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Rcsi/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Remote.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Remote/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Remote.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Remote/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Sqldumper.exe,Function: Dump,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Sqldumper=,ATT&CK Technique: T1003: OS Credential Dumping
Sqldumper.exe,Function: Dump,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Sqldumper=,ATT&CK Technique: T1003.001: LSASS Memory
Sqlps.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Sqlps/,ATT&CK Technique: T1218: System Binary Proxy Execution
SQLToolsPS.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Sqltoolsp=,ATT&CK Technique: T1218: System Binary Proxy Execution
Squirrel.exe,Function: Download,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Squirrel/,ATT&CK Technique: T1218: System Binary Proxy Execution
Squirrel.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Squirrel/,ATT&CK Technique: T1218: System Binary Proxy Execution
Squirrel.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Squirrel/,ATT&CK Technique: T1218: System Binary Proxy Execution
te.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Te/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Tracker.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Tracker/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Tracker.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Tracker/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Update.exe,Function: Download,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Update/,ATT&CK Technique: T1218: System Binary Proxy Execution
Update.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Update/,ATT&CK Technique: T1547: Boot or Logon Autostart Execution
Update.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Update/,ATT&CK Technique: T1070: Indicator Removal on Host
VSIISExeLauncher.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/VSIISExeL=,ATT&CK Technique: T1218: System Binary Proxy Execution
VisualUiaVerifyNative.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/VisualUia=,ATT&CK Technique: T1218: System Binary Proxy Execution
vsjitdebugger.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Vsjitdebu=,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Wfc.exe,Function: AWL bypass,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Wfc/,ATT&CK Technique: T1127-vTrusted Developer Utilities Proxy Execution
Winword.exe,Function: Download,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Winword/,ATT&CK Technique: T1105: Ingress Tool Transfer
Wsl.exe,Function: Execute,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Wsl/,ATT&CK Technique: T1202: Indirect Command Execution
Wsl.exe,Function: Download,Type: OtherMSBinaries,Link:   https://lolbas-project.github.io/lolbas/OtherMSBinaries/Wsl/,ATT&CK Technique: T1202: Indirect Command Execution
CL_LoadAssembly.ps1,Function: Execute,Type: Scripts,Link:   https://lolbas-project.github.io/lolbas/Scripts/CL_LoadAssembly/,ATT&CK Technique: T1216: System Script Proxy Execution
CL_Mutexverifiers.ps1,Function: Execute,Type: Scripts,Link:   https://lolbas-project.github.io/lolbas/Scripts/CL_mutexverifiers=,ATT&CK Technique: T1216: System Script Proxy Execution
CL_Invocation.ps1,Function: Execute,Type: Scripts,Link:   https://lolbas-project.github.io/lolbas/Scripts/Cl_invocation/,ATT&CK Technique: T1216: System Script Proxy Execution
Manage-bde.wsf,Function: Execute,Type: Scripts,Link:   https://lolbas-project.github.io/lolbas/Scripts/Manage-bde/,ATT&CK Technique: T1216: System Script Proxy Execution
Pubprn.vbs,Function: Execute,Type: Scripts,Link:   https://lolbas-project.github.io/lolbas/Scripts/Pubprn/,ATT&CK Technique: T1216.001: PubPrn
Syncappvpublishingserver.vbs,Function: Execute,Type: Scripts,Link:   https://lolbas-project.github.io/lolbas/Scripts/Syncappvpublishin=,ATT&CK Technique: T1216: System Script Proxy Execution
UtilityFunctions.ps1,Function: Execute,Type: Scripts,Link:   https://lolbas-project.github.io/lolbas/Scripts/UtilityFunctions/,ATT&CK Technique: T1216: System Script Proxy Execution
winrm.vbs,Function: Execute,Type: Scripts,Link:   https://lolbas-project.github.io/lolbas/Scripts/Winrm/,ATT&CK Technique: T1216: System Script Proxy Execution
winrm.vbs,Function: AWL bypass,Type: Scripts,Link:   https://lolbas-project.github.io/lolbas/Scripts/Winrm/,ATT&CK Technique: T1216: System Script Proxy Execution
Pester.bat,Function: Execute,Type: Scripts,Link:   https://lolbas-project.github.io/lolbas/Scripts/pester/,ATT&CK Technique: T1216: System Script Proxy Execution
